nome,sku,quantidade,total,porcentagem_das_vendas
"Queijo Brie Premium 300 g",89JSTTCRLW,2,91.2,0.07
"Mamão papaya 8 un Normal",HRVZSX7B6J,2,239.98,0.19
"Laranja chamanhe 500g Normal",536H2J6S8M,2,69.9,0.06
"Uva Passa Em Rama 300 g",2NN7O6R0JF,2,76.8,0.06
"Castanha Portuguesa 500 g",OJOAUH98O9,2,129.9,0.1
"Pepino Japonês 1 Kg",2HUO6870SP,2,50,0.04
"Semente de abóbora torrada salgada com casca   300g",QYQEF37ZXB,2,76.5,0.06
"Amendoim Torrado sem Pele e sem Sal 300 g",CKG401T8L3,2,40.32,0.03
"Pera 3 un Maduro",IBNNP3CTXL,2,41.8,0.03
"Jabuticaba 300g Normal",A3A4DIELVJ,2,59.94,0.05
"Mamão papaya 4 un Maduro",IZ6I1YJLBJ,2,119.98,0.1
"Abobrinha 1 Kg",61OBXDHBTG,2,39.96,0.03
"Macadâmia torrada e salgada   300g",HV4QAZ8X0R,2,108,0.09
"Cereja 1kg Maduro",MGO4SL678M,2,300,0.24
"Uva Thompson 1 Kg Maduro",2BK0JZU1JH,2,103.96,0.08
"Melão Rei 1 un Maduro",JT7PXVYNCM,2,119.8,0.1
"Figo turco 500 g",RN2824U0Y9,2,156.8,0.13
"Goiaba graúda 6 un Normal",SP3C5RTC6Y,2,22.89,0.02
"Castanha de caju doce com gergelim 300 g",615BR76XKD,2,65.28,0.05
"Banana Passa 300 g",RDTQEN4852,2,54.72,0.04
"Laranja pera 12 un Normal",F7R694VHR3,2,55.96,0.04
"Rambutão 1kg Maduro",MFHK6K29OH,2,140,0.11
"Casca de laranja cristalizada   300g",75VZF6YH42,2,54,0.04
"Castanha Portuguesa 1 Kg",1ZZA4SPGKC,2,259.8,0.21
"Coco Verde 4 un Normal",4NWEEEM8OU,2,119.92,0.1
"Sapoti 1kg Normal",8YTUR362D8,2,139.8,0.11
"Mamão papaya 2 un Verde",823Y56NPEK,2,59.98,0.05
"Nozes pecan agridoce 300 g",AFKDGZAJNM,2,185.64,0.15
"Roma Importada 1kg Normal",GKJODX6JTA,2,179.8,0.14
"Amendoim Torrado Salgado sem Pele 300 g",K3D43RZJ10,2,57.6,0.05
"Nêspera 1Kg Maduro",HVUZDJ3LBW,2,198,0.16
"Jabuticaba 500g Maduro",65CM5EBP9J,2,99.8,0.08
"Pera 6 un Normal",C1JL71VJYV,2,83.8,0.07
"Roma Importada 500g Normal",LTB2Z6B21W,2,89.9,0.07
"Filé de bacalhau do Porto calibre 4/7 sem pele e sem espinhaço 500 g",H1SEYGG9OL,1,144,0.12
"Azeite Deleyda Premium 1L 0,2 de acidez",LDDN2UPTOG,1,195,0.16
"Azeite Deleyda Premium 500ML 0,2 de acidez   Preço por unidade",MTHHIKH18O,1,112.5,0.09
"Acelga - 1 Unidade",HQ6T79XTM2,1,12.99,0.01
"Coco Verde 1 un Normal",PACWIZ09Q2,1,14.99,0.01
"Azeite de oliva extra virgem EA (0,2% Ac) 500 ml",8E6OSAJ8ZA,1,136,0.11
"Batata doce 500 g",J6FQ7ACMHE,1,7.5,0.01
"Mamão Cristalizado 300 g",QJBYJEMKND,1,28.8,0.02
"Mini Tangerina 300g Maduro",9TGKBIJNPY,1,23.99,0.02
"Mandioca Descascada 300 g",NGHM7H8DBE,1,4.2,0
"Cidra Cristalizada 500 g",CG9UOY2KPF,1,98,0.08
"Castanha de Caju SLW1 Torrada com Sal 500 g",7MNQM8Q5FX,1,96,0.08
"Tamara 1Kg Maduro",GGKW09TOWZ,1,69.9,0.06
"Amendoim Ovinho 300 g",6ASUSSLBP4,1,20.19,0.02
"Abacaxi perola 1 un Verde",1V91CK25O0,1,19.9,0.02
"Castanha-do-Pará Média 300 g",QJASYKR7AW,1,85.92,0.07
